date,description,categorie,type,montant
2025-02-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1505783
2025-02-05,Carburant Flotte Camions TotalEnergies,Carburant,debit,64473
2025-02-06,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,4005066
2025-02-07,Carburant Flotte Camions TotalEnergies,Carburant,debit,103882
2025-02-09,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,2829417
2025-02-10,Règlement Facture - CBAO Siège,Ventes BTP,credit,2178775
2025-02-10,Carburant Flotte Camions TotalEnergies,Carburant,debit,106838
2025-02-11,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,4081010
2025-02-12,Règlement Facture - PromoBeton,Ventes BTP,credit,3173945
2025-02-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2236786
2025-02-13,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,4128232
2025-02-14,Carburant Flotte Camions TotalEnergies,Carburant,debit,73810
2025-02-16,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,1282183
2025-02-17,Carburant Flotte Camions TotalEnergies,Carburant,debit,96137
2025-02-18,Règlement Facture - CBAO Siège,Ventes BTP,credit,3286134
2025-02-18,Carburant Flotte Camions TotalEnergies,Carburant,debit,71239
2025-02-19,Règlement Facture - CBAO Siège,Ventes BTP,credit,2446119
2025-02-19,Carburant Flotte Camions TotalEnergies,Carburant,debit,92364
2025-02-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1378168
2025-02-20,Carburant Flotte Camions TotalEnergies,Carburant,debit,134133
2025-02-21,Règlement Facture - Getran SA,Ventes BTP,credit,2197849
2025-02-21,Carburant Flotte Camions TotalEnergies,Carburant,debit,80833
2025-02-22,Règlement Facture - Getran SA,Ventes BTP,credit,894231
2025-02-24,Règlement Facture - PromoBeton,Ventes BTP,credit,4097327
2025-02-24,Carburant Flotte Camions TotalEnergies,Carburant,debit,124109
2025-02-25,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3619223
2025-02-26,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,4112859
2025-02-26,Carburant Flotte Camions TotalEnergies,Carburant,debit,118216
2025-02-27,Règlement Facture - Getran SA,Ventes BTP,credit,1288986
2025-02-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2197535
2025-02-27,Carburant Flotte Camions TotalEnergies,Carburant,debit,73399
2025-02-28,Règlement Facture - PromoBeton,Ventes BTP,credit,1360120
2025-02-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-03-01,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,4170330
2025-03-02,Règlement Facture - CSE BTP,Ventes BTP,credit,1465821
2025-03-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-03-03,Règlement Facture - Getran SA,Ventes BTP,credit,3952689
2025-03-04,Règlement Facture - CBAO Siège,Ventes BTP,credit,2987226
2025-03-05,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,996519
2025-03-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1992217
2025-03-06,Règlement Facture - CBAO Siège,Ventes BTP,credit,2383462
2025-03-07,Règlement Facture - CSE BTP,Ventes BTP,credit,1637819
2025-03-10,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3989805
2025-03-10,Carburant Flotte Camions TotalEnergies,Carburant,debit,73755
2025-03-11,Règlement Facture - PromoBeton,Ventes BTP,credit,1286811
2025-03-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1421692
2025-03-12,Carburant Flotte Camions TotalEnergies,Carburant,debit,80841
2025-03-13,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,2556483
2025-03-13,Carburant Flotte Camions TotalEnergies,Carburant,debit,98235
2025-03-14,Règlement Facture - Getran SA,Ventes BTP,credit,4320758
2025-03-14,Carburant Flotte Camions TotalEnergies,Carburant,debit,114984
2025-03-15,Paiement Acompte TVA / DGI Sénégal,Impôts,debit,546214
2025-03-16,Règlement Facture - PromoBeton,Ventes BTP,credit,3035452
2025-03-17,Carburant Flotte Camions TotalEnergies,Carburant,debit,67043
2025-03-18,Règlement Facture - Getran SA,Ventes BTP,credit,1556271
2025-03-19,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1315289
2025-03-20,Règlement Facture - PromoBeton,Ventes BTP,credit,3709759
2025-03-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2527909
2025-03-20,Carburant Flotte Camions TotalEnergies,Carburant,debit,129762
2025-03-21,Carburant Flotte Camions TotalEnergies,Carburant,debit,103094
2025-03-24,Règlement Facture - PromoBeton,Ventes BTP,credit,3631481
2025-03-25,Règlement Facture - Getran SA,Ventes BTP,credit,3347207
2025-03-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1322060
2025-03-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-03-31,Règlement Facture - Getran SA,Ventes BTP,credit,1191759
2025-03-31,Carburant Flotte Camions TotalEnergies,Carburant,debit,66428
2025-04-01,Règlement Facture - PromoBeton,Ventes BTP,credit,2081783
2025-04-02,Règlement Facture - PromoBeton,Ventes BTP,credit,2776769
2025-04-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-04-02,Carburant Flotte Camions TotalEnergies,Carburant,debit,106155
2025-04-04,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,2241501
2025-04-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1261413
2025-04-07,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2753559
2025-04-07,Carburant Flotte Camions TotalEnergies,Carburant,debit,60569
2025-04-08,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2674044
2025-04-08,Carburant Flotte Camions TotalEnergies,Carburant,debit,73789
2025-04-09,Règlement Facture - PromoBeton,Ventes BTP,credit,1103097
2025-04-09,Carburant Flotte Camions TotalEnergies,Carburant,debit,127884
2025-04-10,Règlement Facture - Getran SA,Ventes BTP,credit,4257770
2025-04-10,Carburant Flotte Camions TotalEnergies,Carburant,debit,126094
2025-04-11,Règlement Facture - Getran SA,Ventes BTP,credit,2412979
2025-04-12,Règlement Facture - PromoBeton,Ventes BTP,credit,1452247
2025-04-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2318326
2025-04-14,Règlement Facture - Getran SA,Ventes BTP,credit,3922912
2025-04-14,Carburant Flotte Camions TotalEnergies,Carburant,debit,110211
2025-04-15,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1869607
2025-04-16,Règlement Facture - Getran SA,Ventes BTP,credit,3038654
2025-04-17,Carburant Flotte Camions TotalEnergies,Carburant,debit,111455
2025-04-18,Règlement Facture - Getran SA,Ventes BTP,credit,3996870
2025-04-18,Carburant Flotte Camions TotalEnergies,Carburant,debit,94879
2025-04-20,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2129857
2025-04-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2670589
2025-04-21,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,1033515
2025-04-22,Règlement Facture - PromoBeton,Ventes BTP,credit,3179011
2025-04-23,Règlement Facture - PromoBeton,Ventes BTP,credit,1469367
2025-04-24,Carburant Flotte Camions TotalEnergies,Carburant,debit,119098
2025-04-25,Règlement Facture - Getran SA,Ventes BTP,credit,3994353
2025-04-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1683223
2025-04-28,Règlement Facture - PromoBeton,Ventes BTP,credit,3617562
2025-04-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-04-28,Carburant Flotte Camions TotalEnergies,Carburant,debit,121447
2025-04-29,Carburant Flotte Camions TotalEnergies,Carburant,debit,101872
2025-04-30,Règlement Facture - Getran SA,Ventes BTP,credit,3396426
2025-04-30,Carburant Flotte Camions TotalEnergies,Carburant,debit,99617
2025-05-01,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3095268
2025-05-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-05-02,Carburant Flotte Camions TotalEnergies,Carburant,debit,111485
2025-05-03,Règlement Facture - CBAO Siège,Ventes BTP,credit,2845827
2025-05-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1422693
2025-05-05,Carburant Flotte Camions TotalEnergies,Carburant,debit,82531
2025-05-06,Règlement Facture - CSE BTP,Ventes BTP,credit,4089250
2025-05-06,Carburant Flotte Camions TotalEnergies,Carburant,debit,65445
2025-05-07,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1125358
2025-05-07,Carburant Flotte Camions TotalEnergies,Carburant,debit,95485
2025-05-08,Carburant Flotte Camions TotalEnergies,Carburant,debit,86713
2025-05-09,Carburant Flotte Camions TotalEnergies,Carburant,debit,137539
2025-05-12,Règlement Facture - CBAO Siège,Ventes BTP,credit,1040557
2025-05-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1795645
2025-05-12,Carburant Flotte Camions TotalEnergies,Carburant,debit,123184
2025-05-13,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3298009
2025-05-13,Carburant Flotte Camions TotalEnergies,Carburant,debit,114365
2025-05-15,Paiement Acompte TVA / DGI Sénégal,Impôts,debit,455987
2025-05-15,Carburant Flotte Camions TotalEnergies,Carburant,debit,102453
2025-05-16,Carburant Flotte Camions TotalEnergies,Carburant,debit,119730
2025-05-18,Règlement Facture - CBAO Siège,Ventes BTP,credit,4141566
2025-05-19,Règlement Facture - PromoBeton,Ventes BTP,credit,3963457
2025-05-19,Carburant Flotte Camions TotalEnergies,Carburant,debit,107713
2025-05-20,Règlement Facture - CSE BTP,Ventes BTP,credit,3365642
2025-05-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1975753
2025-05-21,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,849368
2025-05-21,Carburant Flotte Camions TotalEnergies,Carburant,debit,62892
2025-05-22,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,4143258
2025-05-23,Règlement Facture - Getran SA,Ventes BTP,credit,4348071
2025-05-23,Carburant Flotte Camions TotalEnergies,Carburant,debit,78567
2025-05-26,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,4370030
2025-05-27,Règlement Facture - Getran SA,Ventes BTP,credit,1762051
2025-05-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2356689
2025-05-27,Carburant Flotte Camions TotalEnergies,Carburant,debit,114179
2025-05-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-05-30,Règlement Facture - CBAO Siège,Ventes BTP,credit,1405106
2025-05-30,Carburant Flotte Camions TotalEnergies,Carburant,debit,99438
2025-05-31,Règlement Facture - CSE BTP,Ventes BTP,credit,2619515
2025-06-02,Règlement Facture - Getran SA,Ventes BTP,credit,2108004
2025-06-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-06-02,Carburant Flotte Camions TotalEnergies,Carburant,debit,118633
2025-06-03,Règlement Facture - Getran SA,Ventes BTP,credit,832826
2025-06-03,Carburant Flotte Camions TotalEnergies,Carburant,debit,78039
2025-06-04,Règlement Facture - CSE BTP,Ventes BTP,credit,2362197
2025-06-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2145126
2025-06-06,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2974897
2025-06-06,Carburant Flotte Camions TotalEnergies,Carburant,debit,93877
2025-06-09,Règlement Facture - CSE BTP,Ventes BTP,credit,3531363
2025-06-10,Règlement Facture - PromoBeton,Ventes BTP,credit,3584051
2025-06-11,Règlement Facture - CSE BTP,Ventes BTP,credit,1380577
2025-06-11,Carburant Flotte Camions TotalEnergies,Carburant,debit,94229
2025-06-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1226559
2025-06-12,Carburant Flotte Camions TotalEnergies,Carburant,debit,79270
2025-06-13,Carburant Flotte Camions TotalEnergies,Carburant,debit,70731
2025-06-16,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,828427
2025-06-16,Carburant Flotte Camions TotalEnergies,Carburant,debit,139850
2025-06-17,Règlement Facture - CBAO Siège,Ventes BTP,credit,1906746
2025-06-17,Carburant Flotte Camions TotalEnergies,Carburant,debit,105436
2025-06-18,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,2084925
2025-06-18,Carburant Flotte Camions TotalEnergies,Carburant,debit,67321
2025-06-20,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1867778
2025-06-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1622813
2025-06-23,Carburant Flotte Camions TotalEnergies,Carburant,debit,75748
2025-06-24,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,3583182
2025-06-24,Carburant Flotte Camions TotalEnergies,Carburant,debit,137749
2025-06-25,Règlement Facture - CSE BTP,Ventes BTP,credit,4095126
2025-06-25,Carburant Flotte Camions TotalEnergies,Carburant,debit,117232
2025-06-26,Règlement Facture - PromoBeton,Ventes BTP,credit,4379788
2025-06-26,Carburant Flotte Camions TotalEnergies,Carburant,debit,66905
2025-06-27,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,4459791
2025-06-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2649579
2025-06-27,Carburant Flotte Camions TotalEnergies,Carburant,debit,111701
2025-06-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-06-29,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,1522828
2025-06-30,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,2227461
2025-07-01,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1337786
2025-07-01,Carburant Flotte Camions TotalEnergies,Carburant,debit,117446
2025-07-02,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,3087614
2025-07-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-07-03,Règlement Facture - PromoBeton,Ventes BTP,credit,3471083
2025-07-04,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3255018
2025-07-05,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,1098055
2025-07-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1491914
2025-07-07,Carburant Flotte Camions TotalEnergies,Carburant,debit,92967
2025-07-08,Règlement Facture - Getran SA,Ventes BTP,credit,2547095
2025-07-09,Règlement Facture - PromoBeton,Ventes BTP,credit,2248241
2025-07-09,Carburant Flotte Camions TotalEnergies,Carburant,debit,82620
2025-07-10,Règlement Facture - CSE BTP,Ventes BTP,credit,2343942
2025-07-10,Carburant Flotte Camions TotalEnergies,Carburant,debit,96966
2025-07-11,Règlement Facture - CBAO Siège,Ventes BTP,credit,2323089
2025-07-11,Carburant Flotte Camions TotalEnergies,Carburant,debit,80165
2025-07-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2785693
2025-07-13,Règlement Facture - CSE BTP,Ventes BTP,credit,1602838
2025-07-15,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1663666
2025-07-15,Paiement Acompte TVA / DGI Sénégal,Impôts,debit,674027
2025-07-15,Carburant Flotte Camions TotalEnergies,Carburant,debit,78504
2025-07-16,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,4387177
2025-07-17,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,2247076
2025-07-18,Règlement Facture - Getran SA,Ventes BTP,credit,937932
2025-07-18,Carburant Flotte Camions TotalEnergies,Carburant,debit,80591
2025-07-19,Règlement Facture - CSE BTP,Ventes BTP,credit,3130576
2025-07-20,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,1520399
2025-07-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1360159
2025-07-21,Règlement Facture - PromoBeton,Ventes BTP,credit,3928570
2025-07-22,Carburant Flotte Camions TotalEnergies,Carburant,debit,108702
2025-07-23,Carburant Flotte Camions TotalEnergies,Carburant,debit,101998
2025-07-24,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,1339963
2025-07-24,Carburant Flotte Camions TotalEnergies,Carburant,debit,87550
2025-07-25,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,1597846
2025-07-25,Carburant Flotte Camions TotalEnergies,Carburant,debit,65328
2025-07-26,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,4365507
2025-07-27,Règlement Facture - CSE BTP,Ventes BTP,credit,2702234
2025-07-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1279008
2025-07-28,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3073935
2025-07-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-07-28,Carburant Flotte Camions TotalEnergies,Carburant,debit,127603
2025-07-29,Règlement Facture - CBAO Siège,Ventes BTP,credit,3547038
2025-07-30,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2432335
2025-07-30,Carburant Flotte Camions TotalEnergies,Carburant,debit,83552
2025-07-31,Règlement Facture - CBAO Siège,Ventes BTP,credit,1458075
2025-08-01,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,838524
2025-08-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-08-04,Carburant Flotte Camions TotalEnergies,Carburant,debit,107330
2025-08-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2337214
2025-08-05,Carburant Flotte Camions TotalEnergies,Carburant,debit,136982
2025-08-06,Carburant Flotte Camions TotalEnergies,Carburant,debit,120010
2025-08-07,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,3466709
2025-08-08,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,3247677
2025-08-08,Carburant Flotte Camions TotalEnergies,Carburant,debit,126567
2025-08-09,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,2455616
2025-08-11,Règlement Facture - Getran SA,Ventes BTP,credit,952975
2025-08-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2521566
2025-08-12,Carburant Flotte Camions TotalEnergies,Carburant,debit,128992
2025-08-13,Règlement Facture - CBAO Siège,Ventes BTP,credit,2600855
2025-08-14,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,4146350
2025-08-15,Carburant Flotte Camions TotalEnergies,Carburant,debit,136615
2025-08-18,Règlement Facture - CBAO Siège,Ventes BTP,credit,1490137
2025-08-18,Carburant Flotte Camions TotalEnergies,Carburant,debit,72565
2025-08-19,Règlement Facture - CSE BTP,Ventes BTP,credit,3263922
2025-08-20,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,2299604
2025-08-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2525729
2025-08-21,Carburant Flotte Camions TotalEnergies,Carburant,debit,91415
2025-08-22,Règlement Facture - Getran SA,Ventes BTP,credit,1606988
2025-08-23,Règlement Facture - Getran SA,Ventes BTP,credit,1277701
2025-08-25,Règlement Facture - Getran SA,Ventes BTP,credit,2973128
2025-08-26,Règlement Facture - PromoBeton,Ventes BTP,credit,1268038
2025-08-26,Carburant Flotte Camions TotalEnergies,Carburant,debit,95613
2025-08-27,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3965148
2025-08-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1813903
2025-08-27,Carburant Flotte Camions TotalEnergies,Carburant,debit,101395
2025-08-28,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,908233
2025-08-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-08-29,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,2421794
2025-08-30,Règlement Facture - CSE BTP,Ventes BTP,credit,3461790
2025-08-31,Règlement Facture - CSE BTP,Ventes BTP,credit,3167579
2025-09-01,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,1088667
2025-09-02,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,2900440
2025-09-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-09-03,Carburant Flotte Camions TotalEnergies,Carburant,debit,99804
2025-09-04,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1213329
2025-09-05,Règlement Facture - PromoBeton,Ventes BTP,credit,4113141
2025-09-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1918829
2025-09-05,Carburant Flotte Camions TotalEnergies,Carburant,debit,75026
2025-09-08,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,4260758
2025-09-08,Carburant Flotte Camions TotalEnergies,Carburant,debit,119062
2025-09-09,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,2257384
2025-09-09,Carburant Flotte Camions TotalEnergies,Carburant,debit,108228
2025-09-11,Carburant Flotte Camions TotalEnergies,Carburant,debit,95060
2025-09-12,Règlement Facture - CSE BTP,Ventes BTP,credit,3381011
2025-09-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2421866
2025-09-15,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,3205914
2025-09-15,Paiement Acompte TVA / DGI Sénégal,Impôts,debit,676799
2025-09-15,Carburant Flotte Camions TotalEnergies,Carburant,debit,97350
2025-09-16,Règlement Facture - Getran SA,Ventes BTP,credit,1626345
2025-09-16,Carburant Flotte Camions TotalEnergies,Carburant,debit,90704
2025-09-17,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2591477
2025-09-18,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,913927
2025-09-19,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1562011
2025-09-19,Carburant Flotte Camions TotalEnergies,Carburant,debit,62297
2025-09-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2773248
2025-09-23,Carburant Flotte Camions TotalEnergies,Carburant,debit,134958
2025-09-24,Règlement Facture - CSE BTP,Ventes BTP,credit,1828658
2025-09-25,Règlement Facture - Getran SA,Ventes BTP,credit,3352332
2025-09-26,Carburant Flotte Camions TotalEnergies,Carburant,debit,122006
2025-09-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1646498
2025-09-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-09-30,Règlement Facture - CSE BTP,Ventes BTP,credit,1650348
2025-10-01,Règlement Facture - PromoBeton,Ventes BTP,credit,3553912
2025-10-01,Carburant Flotte Camions TotalEnergies,Carburant,debit,128829
2025-10-02,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2380415
2025-10-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-10-02,Carburant Flotte Camions TotalEnergies,Carburant,debit,88226
2025-10-03,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,1096897
2025-10-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2478965
2025-10-06,Règlement Facture - PromoBeton,Ventes BTP,credit,2748498
2025-10-07,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,4248478
2025-10-07,Carburant Flotte Camions TotalEnergies,Carburant,debit,92055
2025-10-08,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,4116798
2025-10-08,Carburant Flotte Camions TotalEnergies,Carburant,debit,116858
2025-10-09,Règlement Facture - PromoBeton,Ventes BTP,credit,4213074
2025-10-10,Règlement Facture - Getran SA,Ventes BTP,credit,1542678
2025-10-10,Carburant Flotte Camions TotalEnergies,Carburant,debit,62048
2025-10-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1977740
2025-10-13,Règlement Facture - Getran SA,Ventes BTP,credit,3071764
2025-10-14,Carburant Flotte Camions TotalEnergies,Carburant,debit,90452
2025-10-15,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,1823761
2025-10-16,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,1554001
2025-10-17,Règlement Facture - PromoBeton,Ventes BTP,credit,1087835
2025-10-17,Carburant Flotte Camions TotalEnergies,Carburant,debit,122201
2025-10-20,Règlement Facture - PromoBeton,Ventes BTP,credit,1845456
